Key,ko,en,ja
AccountLinkingError,계정 연동 오류,Account Linking Error,アカウント連携エラー
DataChange,데이터 교체,Data Replacement,データ交換
System_LinkingSuccess,연동 성공,Linking Successful,連携成功
System_LinkGoogleAcount,구글 계정으로 연동되었습니다.,Linked to Google account.,Googleアカウントに連携しました。
System_AccountConflict,계정 충돌,Account Conflict,アカウントの競合
System_GoogleAccount_Already,이 구글 계정은 이미 다른 데이터와 연동되어있습니다. 해당 계정으로 전환하시겠습니까?,This Google account is already linked to other data. Would you like to switch to that account?,このGoogleアカウントはすでに他のデータと連携しています。そのアカウントに切り替えますか？
System_Switch,전환하기,Switch,切り替える
System_DataConflict,데이터 충돌,Data Conflict,データの競合
System_DataOverwrite,기기 데이터의 스테이지 {0} - {1}가 서버 데이터의 스테이지 {2} - {3}보다 앞서있습니다. 덮어 씌울까요?,Stages {0} - {1} of the device data are ahead of stages {2} - {3} of the server data. Do you want to overwrite?,デバイスデータのステージ{0} - {1}は、サーバーデータのステージ{2} - {3}よりも先です。上書きしますか？
System_OverWrite,덮어씌우기,Overwrite,上書き
System_Load,불러오기,Load,読み込む
System_ConversionSuccess,전환 성공,Conversion Successful,移行成功
System_OverWriteSuccess,기기 데이터로 서버 데이터를 덮어쓰고 구글 계정으로 전환되었습니다.,The server data was overwritten with device data and switched to a Google account.,デバイスデータでサーバーデータを上書きし、Googleアカウントに切り替えました。
System_LoadGoogleAcountSuccess,서버 데이터를 불러와 구글 계정으로 전환되었습니다.,Server data has been retrieved and switched to the Google account.,サーバーデータを読み込んでGoogleアカウントに切り替えました。
System_Error,오류,Error,エラー
System_LinkingFail,연동에 실패했습니다. 다시 시도해주세요.,Linking failed. Please try again.,連携に失敗しました。もう一度お試しください。
PopupGetItem01,아이템을 획득하였습니다 : {0},You have acquired the following items: {0},アイテムを獲得しました : {0}
PopupGetItem02,{0}을(를) 획득하였습니다.,You have acquired {0}.,{0}を獲得しました。
